Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
62.0,-2.559644174575806,0.0,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-2.471561241149902,0.0,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
61.0,-0.473384428024292,0.0,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
63.0,-0.49786105155944826,0.0,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.0,-0.42907302379608153,0.0,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.4,-6.744500613212585,6.415259585983685,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
58.5,-6.65568699836731,5.522680508593628,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
53.2,-6.810976886749268,5.9029182989809765,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
55.0,-0.08960902690887451,0.0,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
58.7,-0.09935548305511474,2.1108186931983415,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
57.4,-0.077697491645813,2.11869981094276,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
55.0,-0.14374446868896484,0.0,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
62.0,-0.09168870449066162,0.0,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
57.0,-0.10231800079345703,0.0,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
55.0,-0.09628856182098389,0.0,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
62.0,-0.100388503074646,0.0,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-0.0805126667022705,0.0,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
55.0,-0.07722771167755127,0.0,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
61.0,-0.06912126541137695,0.0,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.0,-0.08289313316345215,0.0,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
55.0,-0.084228515625,0.0,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
59.0,-0.08304100036621094,0.0,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
58.0,-0.14182493686676026,0.0,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
55.0,-0.09787452220916748,0.0,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
52.0,-0.17158935070037842,0.0,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
52.0,-0.1073843240737915,0.0,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
61.0,-0.00014035701751708985,3.9157800414902435,15,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
58.6,-0.00015799999237060548,3.1340424729448424,15,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
55.9,-0.00018362998962402345,2.960855732160327,15,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
62.6,-0.04863691329956055,5.146735750831676,15,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
55.7,-0.01597602367401123,3.5605867181937563,15,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
50.9,-0.17227962017059326,3.8715486421958953,15,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
61.0,-2.4568513870239257,0.0,15,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-2.3683417558670046,0.0,15,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
61.0,-2.4939852952957153,0.0,15,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,-2.4327060699462892,0.0,15,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
63.0,-2.559644174575806,0.0,15,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-2.471561241149902,0.0,15,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
59.0,-0.473384428024292,0.0,15,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-0.49786105155944826,0.0,15,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.0,-0.42907302379608153,0.0,15,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
62.2,-6.744500613212585,7.539525478731698,15,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
60.9,-6.65568699836731,4.5325979795746765,15,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
52.5,-6.810976886749268,4.301162633521313,15,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
58.6,-0.08960902690887451,4.948624949305502,15,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
57.4,-0.09935548305511474,2.988868236194652,15,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
55.8,-0.077697491645813,4.3153472887152695,15,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
53.7,-0.14374446868896484,3.233505150074074,15,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
55.7,-0.09168870449066162,1.2516655570345745,15,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
51.9,-0.10231800079345703,2.0248456731316584,15,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
60.0,-0.09628856182098389,0.0,15,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
61.3,-0.100388503074646,0.9486832980505141,15,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
58.2,-0.0805126667022705,0.632455532033676,15,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
67.0,-0.07722771167755127,0.0,15,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
65.0,-0.06912126541137695,0.0,15,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
63.0,-0.08289313316345215,0.0,15,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
