Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
73.93333333333334,1772049311.2990274,6.605913656572818,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
77.2,1772049322.7972918,6.742191250412795,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
74.13333333333334,1772049319.650822,8.043335010755058,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.86666666666666,1772049314.5171838,8.236388482708623,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
77.73333333333333,1772049312.951324,9.460192286377591,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.93333333333334,1772049314.3162236,5.351457300408482,30,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
74.26666666666667,1772049313.1793222,5.063407473045719,30,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
74.26666666666667,1772049333.7505903,9.019555474211629,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
71.46666666666667,1772049326.825189,8.382521498133283,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.93333333333334,1772049317.527997,12.079892777827522,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
77.26666666666667,1772049315.518049,11.504450484589906,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
80.26666666666667,1772049316.9243116,6.829208976015834,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
78.2,1772049315.264975,4.616739727804213,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
80.4,1772049323.133858,5.500649312321488,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
75.26666666666667,1772049320.8447962,6.158231038521493,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
80.06666666666666,1772049318.8186052,11.448435118681797,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.26666666666667,1772049316.5602858,11.547830140436814,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.53333333333333,1772049312.697628,6.674756995755047,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
78.0,1772049311.314589,6.000000000000001,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
78.2,1772049325.316774,7.173363427092123,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
77.86666666666666,1772049321.74152,7.836422896291637,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
84.73333333333333,1772049315.4437666,6.681174689984931,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
80.06666666666666,1772049313.4547544,9.106251123476088,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
79.06666666666666,1772049314.6801498,8.198141485088179,40,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
76.0,1772049313.1942074,3.3166247903553994,40,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
79.4,1772049338.3016896,8.227132810749703,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
76.06666666666666,1772049331.018604,5.105552532945545,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
78.53333333333333,1772049318.8730083,11.488296321950978,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.53333333333333,1772049316.3839362,11.350686994102833,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
