Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
63.0,-1.1270990371704102,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
50.0,-0.968083381652832,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
62.0,-0.968083381652832,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-0.968083381652832,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
65.0,-0.968083381652832,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
17.0,-0.40052127838134766,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
17.0,-0.40052127838134766,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
18.0,-0.40052127838134766,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
18.0,-0.40052127838134766,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
47.0,-0.4534587860107422,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
64.0,-0.4534587860107422,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
61.0,-0.4534587860107422,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
73.0,-0.4534587860107422,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
49.0,-0.44460248947143555,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
60.0,-0.44460248947143555,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
68.0,-0.44460248947143555,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
77.0,-0.44460248947143555,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
23.0,-0.41397786140441895,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
25.0,-0.41397786140441895,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
37.0,-0.41397786140441895,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
36.0,-0.41397786140441895,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
48.0,-0.0003261566162109375,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
58.0,-0.0003261566162109375,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
64.0,-0.0003261566162109375,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
69.0,-0.0003261566162109375,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
58.0,-0.00027561187744140625,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
68.0,-0.00027561187744140625,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
73.0,-0.00027561187744140625,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
72.0,-0.00027561187744140625,40,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
23.0,-0.0003840923309326172,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
33.0,-0.0003840923309326172,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
33.0,-0.0003840923309326172,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
32.0,-0.0003840923309326172,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
62.0,-0.5438506603240967,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
74.0,-0.5438506603240967,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
83.0,-0.5438506603240967,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
86.0,-0.5438506603240967,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
63.0,-0.5209407806396484,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
73.0,-0.5209407806396484,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
82.0,-0.5209407806396484,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
83.0,-0.5209407806396484,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
26.0,-0.17974400520324707,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
36.0,-0.17974400520324707,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
42.0,-0.17974400520324707,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
43.0,-0.17974400520324707,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
47.0,-7.504375696182251,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
72.0,-7.504375696182251,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
78.0,-7.504375696182251,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
81.0,-7.504375696182251,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
58.0,-7.529309272766113,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
77.0,-7.529309272766113,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
78.0,-7.529309272766113,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
82.0,-7.529309272766113,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
20.0,-7.3767266273498535,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
21.0,-7.3767266273498535,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
22.0,-7.3767266273498535,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
29.0,-7.3767266273498535,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
51.0,-1.9134883880615234,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
65.0,-1.9134883880615234,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
68.0,-1.9134883880615234,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
70.0,-1.9134883880615234,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
53.0,-1.9317963123321533,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-1.9317963123321533,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
67.0,-1.9317963123321533,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
68.0,-1.9317963123321533,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
24.0,-1.8761615753173828,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
25.0,-1.8761615753173828,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
26.0,-1.8761615753173828,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
27.0,-1.8761615753173828,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
47.0,-10.85115933418274,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
59.0,-10.85115933418274,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
61.0,-10.85115933418274,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
63.0,-10.85115933418274,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
51.0,-11.585850238800049,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
