Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
100.0,-0.1408061981201172,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1408061981201172,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1408061981201172,50,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1408061981201172,75,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1408061981201172,100,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
92.0,-0.1406559944152832,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.1406559944152832,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-0.1406559944152832,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,-0.1406559944152832,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-0.1406559944152832,50,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.1406559944152832,75,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.1406559944152832,100,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14472174644470215,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14472174644470215,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14472174644470215,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14472174644470215,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14472174644470215,50,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14472174644470215,75,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14472174644470215,100,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
90.0,-0.00030231475830078125,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
97.0,-0.00030231475830078125,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,-0.00030231475830078125,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
99.0,-0.00030231475830078125,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,-0.00030231475830078125,50,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.00030231475830078125,75,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.00030231475830078125,100,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.00029087066650390625,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.00029087066650390625,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.00029087066650390625,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.00029087066650390625,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.00029087066650390625,50,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.00029087066650390625,75,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.00029087066650390625,100,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
95.0,-0.03392767906188965,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.03392767906188965,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.03392767906188965,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.03392767906188965,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.03392767906188965,50,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.03392767906188965,75,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.03392767906188965,100,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.02782750129699707,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.02782750129699707,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.02782750129699707,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.02782750129699707,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.02782750129699707,50,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.02782750129699707,75,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.02782750129699707,100,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
62.0,-1.498931646347046,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
91.0,-1.498931646347046,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-1.498931646347046,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-1.498931646347046,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-1.498931646347046,50,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-1.498931646347046,75,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-1.498931646347046,100,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
62.0,-1.4915087223052979,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-1.4915087223052979,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-1.4915087223052979,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-1.4915087223052979,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-1.4915087223052979,50,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-1.4915087223052979,75,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-1.4915087223052979,100,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.0,-2.463606595993042,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-2.463606595993042,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-2.463606595993042,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-2.463606595993042,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-2.463606595993042,50,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-2.463606595993042,75,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-2.463606595993042,100,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
62.0,-2.4333291053771973,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-2.4333291053771973,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
