Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
96.0,-0.025147438049316406,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.025147438049316406,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,-0.024959087371826172,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
83.0,-0.024959087371826172,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
97.0,-0.024959087371826172,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
97.0,-0.024959087371826172,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
92.0,-0.023471355438232422,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,-0.023471355438232422,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,-0.023471355438232422,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,-0.023471355438232422,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.0,-0.0002071857452392578,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
89.0,-0.0002071857452392578,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
92.0,-0.0002071857452392578,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
93.0,-0.0002071857452392578,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
91.0,-0.0001723766326904297,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
90.0,-0.0001723766326904297,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
96.0,-0.0001723766326904297,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
96.0,-0.0001723766326904297,40,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
67.0,-0.00016546249389648438,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
96.0,-0.00016546249389648438,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,-0.00016546249389648438,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,-0.00016546249389648438,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
88.0,-0.12142276763916016,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
95.0,-0.12142276763916016,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
96.0,-0.12142276763916016,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
98.0,-0.12142276763916016,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
89.0,-0.00787353515625,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
96.0,-0.00787353515625,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
96.0,-0.00787353515625,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
96.0,-0.00787353515625,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
88.0,-0.008446931838989258,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
97.0,-0.008446931838989258,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
98.0,-0.008446931838989258,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
99.0,-0.008446931838989258,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
87.0,-2.02166485786438,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.0,-2.02166485786438,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.0,-2.02166485786438,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.0,-2.02166485786438,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
92.0,-2.0125792026519775,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
96.0,-2.0125792026519775,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
96.0,-2.0125792026519775,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
96.0,-2.0125792026519775,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
89.0,-2.0323283672332764,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
94.0,-2.0323283672332764,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
98.0,-2.0323283672332764,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
99.0,-2.0323283672332764,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
77.0,-0.34061646461486816,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
92.0,-0.34061646461486816,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,-0.34061646461486816,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,-0.34061646461486816,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,-0.3370637893676758,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
94.0,-0.3370637893676758,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
97.0,-0.3370637893676758,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.0,-0.3370637893676758,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
68.0,-0.3410305976867676,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
84.0,-0.3410305976867676,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
96.0,-0.3410305976867676,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,-0.3410305976867676,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
80.0,-0.38092470169067383,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
91.0,-0.38092470169067383,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.0,-0.38092470169067383,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.0,-0.38092470169067383,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
79.0,-0.398679256439209,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
79.0,-0.398679256439209,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.0,-0.398679256439209,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.0,-0.398679256439209,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
81.0,-0.39228153228759766,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
95.0,-0.39228153228759766,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
94.0,-0.39228153228759766,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
97.0,-0.39228153228759766,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
80.0,-0.022360801696777344,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
93.0,-0.022360801696777344,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
94.0,-0.022360801696777344,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.0,-0.022360801696777344,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
80.0,-0.021277666091918945,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
90.0,-0.021277666091918945,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
93.0,-0.021277666091918945,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
94.0,-0.021277666091918945,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
85.0,-0.024916410446166992,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
96.0,-0.024916410446166992,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,-0.024916410446166992,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,-0.024916410446166992,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
94.0,-0.025096893310546875,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
97.0,-0.025096893310546875,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
99.0,-0.025096893310546875,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
99.0,-0.025096893310546875,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
91.0,-0.024548053741455078,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
94.0,-0.024548053741455078,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
96.0,-0.024548053741455078,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
96.0,-0.024548053741455078,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
89.0,-0.025531291961669922,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
99.0,-0.025531291961669922,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
99.0,-0.025531291961669922,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
99.0,-0.025531291961669922,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
83.0,-0.024126052856445312,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
96.0,-0.024126052856445312,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.0,-0.024126052856445312,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
99.0,-0.024126052856445312,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
97.0,-0.029728412628173828,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
97.0,-0.029728412628173828,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
97.0,-0.029728412628173828,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
97.0,-0.029728412628173828,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
93.0,-0.029964685440063477,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
96.0,-0.029964685440063477,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
98.0,-0.029964685440063477,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
99.0,-0.029964685440063477,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
72.0,-0.021651506423950195,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
92.0,-0.021651506423950195,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.0,-0.021651506423950195,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.0,-0.021651506423950195,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
85.0,-0.02324056625366211,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
