Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
82.0,0.2925384044647217,10,knn,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,0.706904411315918,10,knn,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,0.6692726612091064,10,knn,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.0,0.380662202835083,10,knn,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,0.7660911083221436,10,knn,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,1.1950366497039795,10,knn,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
93.0,0.8825833797454834,10,knn,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,1.0674388408660889,10,knn,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.0,0.9279687404632568,10,knn,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
75.0,0.0625600814819336,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.0,0.5533320903778076,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
100.0,0.4802227020263672,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
87.0,0.05800461769104004,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
96.0,0.618121862411499,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
99.0,0.5344481468200684,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
91.0,0.8378422260284424,10,False,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
95.0,1.258063554763794,10,False,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
99.0,1.2559685707092285,10,False,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
96.0,0.7653143405914307,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.0,1.1339266300201416,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
99.0,1.2414071559906006,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
