Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
79.2,-0.0407289981842041,4.658325879540846,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
52.2,-0.03879847526550293,5.718391382198319,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
71.2,-0.03815279006958008,2.167948338867879,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
89.8,-0.04131827354431152,1.7888543819998317,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
69.2,-0.04006357192993164,2.7748873851023226,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
89.0,-0.03796205520629883,1.5811388300841898,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
82.8,-0.040723133087158206,3.7682887362833553,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
68.2,-0.04453158378601074,6.058052492344383,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
77.8,-0.0396024227142334,4.207136793592526,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.4,-0.04272928237915039,1.9493588689617924,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
71.8,-0.039121580123901364,2.280350850198276,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
87.6,-0.04477839469909668,2.302172886644269,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
89.4,-0.04165968894958496,1.5165750888103098,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
64.6,-0.04197263717651367,5.813776741499455,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
80.0,-0.04153666496276855,3.8078865529319543,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
81.4,-0.00037131309509277346,10.237187113655784,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
63.2,-0.0002800464630126953,5.805170109479997,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
73.0,-0.0002975940704345703,5.1478150704935,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
