Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
68.6,-1.5342577934265136,10.4546640309481,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
78.6,-1.2127624034881592,3.9115214431215906,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
79.8,-1.1018196105957032,1.3038404810405302,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.0,-1.1830977916717529,3.5355339059327364,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.6,-0.4716358184814453,5.89915248150105,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
79.4,-0.46687607765197753,6.542170893518451,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
71.8,-0.4640187740325928,4.604345773288537,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
79.2,-1.8765750885009767,2.2803508501982774,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
77.2,-1.856996726989746,7.362064927722384,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
80.2,-1.873344326019287,1.6431676725154987,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
72.6,-0.038075733184814456,5.176871642217913,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
71.8,-0.03442230224609375,2.3874672772626635,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
73.6,-0.03659453392028809,7.127411872482185,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
80.2,-0.03781623840332031,2.7748873851023212,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
82.6,-0.03877243995666504,1.1401754250991387,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
80.8,-0.03398971557617188,1.9235384061671343,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
68.6,-0.04581122398376465,1.816590212458495,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
75.0,-0.040798616409301755,4.743416490252571,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
70.0,-0.03967857360839844,3.082207001484487,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.2,-0.04053339958190918,4.38178046004133,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
78.8,-0.039163637161254886,3.9623225512317903,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.4,-0.04123377799987793,0.8944271909999173,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.6,-0.04314079284667969,4.979959839195494,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
79.2,-0.04365315437316895,5.6302753041037,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
77.8,-0.04125800132751465,6.379655163094632,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.0,-0.040538597106933597,3.8078865529319526,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
83.0,-0.048498010635375975,2.1213203435596424,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
82.0,-0.03996992111206055,1.4142135623730951,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
74.0,-0.00029816627502441404,7.968688725254614,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
76.6,-0.0002679347991943359,3.7815340802378086,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
71.4,-0.00027675628662109374,8.933084573650916,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
79.0,-0.019371700286865235,5.787918451395113,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
80.4,-0.01975116729736328,2.7018512172212583,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
80.2,-0.018316364288330077,3.563705936241093,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
56.2,-1.55133376121521,12.417729261020309,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
69.6,-1.5798892498016357,6.426507605223852,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
72.6,-1.5342577934265136,8.848728722251574,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
80.4,-1.2127624034881592,3.2863353450309982,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
81.0,-1.1018196105957032,1.0,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.0,-1.1830977916717529,2.121320343559642,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.2,-0.4716358184814453,5.674504383644442,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
80.2,-0.46687607765197753,5.357238094391548,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.4,-0.4640187740325928,4.615192303685732,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.4,-1.8765750885009767,1.8165902124584943,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
77.2,-1.856996726989746,7.19027120489902,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
83.8,-1.873344326019287,2.280350850198276,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
76.0,-0.038075733184814456,2.345207879911715,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
80.6,-0.03442230224609375,2.40831891575846,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
77.4,-0.03659453392028809,1.9493588689617931,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
81.2,-0.03781623840332031,1.923538406167135,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
82.4,-0.03877243995666504,3.8470768123342696,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
81.2,-0.03398971557617188,3.633180424916991,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
75.8,-0.04581122398376465,3.2710854467592254,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
77.8,-0.040798616409301755,5.263078946776307,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.2,-0.03967857360839844,2.280350850198276,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.2,-0.04053339958190918,4.868264577855236,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
79.4,-0.039163637161254886,3.847076812334268,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
